Hacienda;   Nombre Hacienda;Suerte
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
47;Escocia;01A
47;Escocia;01A
47;Escocia;01A
47;Escocia;01A
47;Escocia;01A
47;Escocia;01A
179;El Arrastradero;01A
179;El Arrastradero;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
886;La Elia Tanaka;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
A80;La Viga;01A
886;La Elia Tanaka;01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
58;Santa Marta (Holguín);01A
A58;Cosacos Bedoya;01A
A58;Cosacos Bedoya;01A
A58;Cosacos Bedoya;01A
A58;Cosacos Bedoya;01A
A58;Cosacos Bedoya;01A
A58;Cosacos Bedoya;01A
A58;Cosacos Bedoya;01A
A58;Cosacos Bedoya;01A
58;Santa Marta (Holguín);01A
